CPU ID,User Time,Kernel Time,Idle Time,IRQ Time,SoftIRQ Time
7,0.000000,0.000000,1.030000,0.000000,0.000000
8,0.000000,0.000000,0.960000,0.000000,0.000000
9,0.000000,0.000000,0.970000,0.000000,0.000000
10,0.000000,0.000000,0.890000,0.000000,0.000000
11,0.000000,0.000000,0.880000,0.000000,0.000000
0,0.000000,0.000000,0.960000,0.000000,0.000000
1,0.000000,0.000000,1.010000,0.000000,0.000000
2,0.000000,0.000000,0.990000,0.000000,0.000000
3,0.000000,0.000000,1.040000,0.000000,0.000000
4,0.000000,0.000000,0.980000,0.000000,0.000000
5,0.000000,0.000000,0.980000,0.000000,0.000000
6,0.000000,0.000000,0.970000,0.000000,0.000000
7,0.000000,0.000000,1.010000,0.000000,0.000000
8,0.000000,0.000000,0.970000,0.000000,0.000000
9,0.000000,0.000000,0.970000,0.000000,0.000000
10,0.000000,0.000000,1.000000,0.000000,0.000000
11,0.000000,0.000000,1.030000,0.000000,0.000000
0,0.000000,0.000000,0.960000,0.000000,0.000000
1,0.000000,0.000000,0.980000,0.000000,0.000000
2,0.000000,0.000000,0.980000,0.000000,0.000000
3,0.000000,0.000000,0.950000,0.000000,0.000000
4,0.000000,0.000000,0.970000,0.000000,0.000000
5,0.000000,0.000000,0.950000,0.000000,0.000000
6,0.000000,0.000000,0.980000,0.000000,0.000000
7,0.000000,0.000000,1.000000,0.000000,0.000000
8,0.000000,0.000000,0.910000,0.000000,0.000000
9,0.000000,0.000000,0.970000,0.000000,0.000000
10,0.000000,0.000000,0.990000,0.000000,0.000000
11,0.000000,0.000000,0.950000,0.000000,0.000000
0,0.000000,0.000000,0.960000,0.000000,0.000000
1,0.000000,0.000000,0.990000,0.000000,0.000000
2,0.000000,0.000000,0.980000,0.000000,0.000000
3,0.000000,0.000000,1.030000,0.000000,0.000000
4,0.000000,0.000000,0.970000,0.000000,0.000000
5,0.000000,0.000000,0.990000,0.000000,0.000000
6,0.000000,0.000000,0.970000,0.000000,0.000000
7,0.000000,0.000000,1.000000,0.000000,0.000000
8,0.000000,0.000000,0.990000,0.000000,0.000000
9,0.000000,0.000000,0.970000,0.000000,0.000000
10,0.000000,0.000000,0.990000,0.000000,0.000000
11,0.000000,0.000000,1.030000,0.000000,0.000000
0,0.050000,0.020000,0.880000,0.000000,0.000000
1,0.020000,0.070000,0.880000,0.000000,0.000000
2,0.030000,0.030000,0.900000,0.000000,0.000000
3,0.040000,0.030000,0.920000,0.000000,0.000000
4,0.020000,0.040000,0.900000,0.000000,0.000000
5,0.020000,0.050000,0.910000,0.000000,0.000000
6,0.000000,0.070000,0.890000,0.000000,0.000000
7,0.040000,0.030000,0.920000,0.000000,0.000000
8,0.010000,0.040000,0.920000,0.000000,0.000000
9,0.020000,0.040000,0.900000,0.000000,0.000000
10,0.020000,0.040000,0.910000,0.000000,0.000000
11,0.010000,0.050000,0.930000,0.000000,0.000000
0,0.030000,0.010000,0.910000,0.000000,0.000000
1,0.010000,0.040000,0.910000,0.000000,0.000000
2,0.010000,0.020000,0.890000,0.000000,0.000000
3,0.020000,0.020000,0.930000,0.000000,0.000000
4,0.010000,0.020000,0.930000,0.000000,0.000000
5,0.010000,0.030000,0.890000,0.000000,0.000000
6,0.000000,0.040000,0.920000,0.000000,0.000000
7,0.020000,0.010000,0.940000,0.000000,0.000000
8,0.000000,0.020000,0.910000,0.000000,0.000000
9,0.010000,0.020000,0.930000,0.000000,0.000000
10,0.010000,0.020000,0.930000,0.000000,0.000000
11,0.000000,0.030000,0.940000,0.000000,0.000000
0,0.010000,0.000000,0.930000,0.000000,0.000000
1,0.000000,0.020000,0.930000,0.000000,0.000000
2,0.000000,0.010000,0.920000,0.000000,0.000000
3,0.010000,0.010000,0.920000,0.000000,0.000000
4,0.000000,0.010000,0.930000,0.000000,0.000000
5,0.000000,0.010000,0.800000,0.000000,0.000000
6,0.000000,0.020000,0.860000,0.000000,0.000000
7,0.010000,0.000000,0.940000,0.000000,0.000000
8,0.000000,0.010000,0.930000,0.000000,0.000000
9,0.000000,0.010000,0.940000,0.000000,0.000000
10,0.000000,0.010000,0.920000,0.000000,0.000000
11,0.000000,0.010000,0.940000,0.000000,0.000000
0,0.000000,0.000000,0.940000,0.000000,0.000000
1,0.000000,0.010000,0.840000,0.000000,0.000000
2,0.000000,0.000000,0.960000,0.000000,0.000000
3,0.000000,0.000000,0.830000,0.000000,0.000000
4,0.000000,0.000000,0.950000,0.000000,0.000000
5,0.000000,0.000000,1.040000,0.000000,0.000000
6,0.000000,0.010000,0.900000,0.000000,0.000000
7,0.000000,0.000000,0.960000,0.000000,0.000000
8,0.000000,0.000000,0.950000,0.000000,0.000000
9,0.000000,0.000000,0.950000,0.000000,0.000000
10,0.000000,0.000000,0.970000,0.000000,0.000000
11,0.000000,0.000000,0.960000,0.000000,0.000000
0,0.000000,0.000000,0.950000,0.000000,0.000000
1,0.000000,0.000000,1.000000,0.000000,0.000000
2,0.000000,0.000000,0.980000,0.000000,0.000000
3,0.000000,0.000000,0.960000,0.000000,0.000000
4,0.000000,0.000000,0.930000,0.000000,0.000000
5,0.000000,0.000000,0.890000,0.000000,0.000000
6,0.000000,0.000000,0.930000,0.000000,0.000000
7,0.000000,0.000000,0.970000,0.000000,0.000000
8,0.000000,0.000000,0.810000,0.000000,0.000000
9,0.000000,0.000000,0.870000,0.000000,0.000000
10,0.000000,0.000000,0.940000,0.000000,0.000000
11,0.000000,0.000000,0.960000,0.000000,0.000000
0,0.000000,0.000000,0.960000,0.000000,0.000000
1,0.000000,0.000000,0.960000,0.000000,0.000000
2,0.000000,0.000000,0.980000,0.000000,0.000000
3,0.000000,0.000000,1.020000,0.000000,0.000000
4,0.000000,0.000000,0.960000,0.000000,0.000000
5,0.000000,0.000000,1.020000,0.000000,0.000000
6,0.000000,0.000000,0.980000,0.000000,0.000000
7,0.000000,0.000000,0.960000,0.000000,0.000000
8,0.000000,0.000000,1.030000,0.000000,0.000000
9,0.000000,0.000000,0.920000,0.000000,0.000000
10,0.000000,0.000000,0.980000,0.000000,0.000000
11,0.000000,0.000000,0.960000,0.000000,0.000000
0,0.000000,0.000000,0.960000,0.000000,0.000000
1,0.000000,0.000000,0.970000,0.000000,0.000000
2,0.000000,0.000000,0.960000,0.000000,0.000000
3,0.000000,0.000000,0.990000,0.000000,0.000000
4,0.000000,0.000000,0.940000,0.000000,0.000000
5,0.000000,0.000000,0.950000,0.000000,0.000000
6,0.000000,0.000000,0.980000,0.000000,0.000000
7,0.000000,0.000000,0.970000,0.000000,0.000000
8,0.000000,0.000000,0.930000,0.000000,0.000000
9,0.000000,0.000000,0.960000,0.000000,0.000000
10,0.000000,0.000000,0.950000,0.000000,0.000000
11,0.000000,0.000000,0.950000,0.000000,0.000000
0,0.000000,0.000000,0.960000,0.000000,0.000000
1,0.000000,0.000000,1.000000,0.000000,0.000000
2,0.000000,0.000000,0.970000,0.000000,0.000000
3,0.000000,0.000000,0.990000,0.000000,0.000000
4,0.000000,0.000000,0.950000,0.000000,0.000000
5,0.000000,0.000000,1.010000,0.000000,0.000000
6,0.000000,0.000000,0.990000,0.000000,0.000000
7,0.000000,0.000000,0.980000,0.000000,0.000000
8,0.000000,0.000000,1.010000,0.000000,0.000000
9,0.000000,0.000000,1.030000,0.000000,0.000000
10,0.000000,0.000000,0.990000,0.000000,0.000000
11,0.000000,0.000000,0.970000,0.000000,0.000000
0,0.000000,0.000000,0.960000,0.000000,0.000000
1,0.000000,0.000000,0.990000,0.000000,0.000000
2,0.000000,0.000000,0.970000,0.000000,0.000000
3,0.000000,0.000000,0.980000,0.000000,0.000000
4,0.000000,0.000000,0.990000,0.000000,0.000000
5,0.000000,0.010000,1.030000,0.000000,0.000000
6,0.000000,0.000000,0.980000,0.000000,0.000000
7,0.000000,0.000000,0.970000,0.000000,0.000000
8,0.000000,0.000000,0.990000,0.000000,0.000000
9,0.000000,0.000000,1.000000,0.000000,0.000000
10,0.000000,0.000000,0.980000,0.000000,0.000000
11,0.000000,0.000000,0.970000,0.000000,0.000000
0,0.000000,0.000000,0.960000,0.000000,0.000000
1,0.000000,0.000000,0.930000,0.000000,0.000000
2,0.000000,0.000000,0.950000,0.000000,0.000000
3,0.000000,0.000000,0.900000,0.000000,0.000000
4,0.000000,0.000000,0.990000,0.000000,0.000000
5,0.000000,0.000000,0.960000,0.000000,0.000000
6,0.000000,0.090000,0.830000,0.000000,0.000000
7,0.000000,0.000000,0.970000,0.000000,0.000000
8,0.000000,0.000000,0.990000,0.000000,0.000000
9,0.000000,0.000000,0.980000,0.000000,0.000000
10,0.000000,0.000000,0.980000,0.000000,0.000000
11,0.000000,0.000000,0.970000,0.000000,0.000000
0,0.000000,0.000000,0.960000,0.000000,0.000000
1,0.000000,0.000000,0.900000,0.000000,0.000000
2,0.000000,0.000000,0.960000,0.000000,0.000000
3,0.000000,0.000000,0.950000,0.000000,0.000000
4,0.000000,0.000000,0.980000,0.000000,0.000000
5,0.000000,0.000000,1.000000,0.000000,0.000000
6,0.000000,0.050000,0.850000,0.000000,0.000000
7,0.000000,0.000000,0.960000,0.000000,0.000000
8,0.000000,0.000000,0.890000,0.000000,0.000000
9,0.000000,0.000000,0.900000,0.000000,0.000000
10,0.000000,0.000000,0.950000,0.000000,0.000000
11,0.000000,0.000000,0.970000,0.000000,0.000000
0,0.000000,0.000000,0.960000,0.000000,0.000000
1,0.000000,0.000000,0.940000,0.000000,0.000000
2,0.000000,0.000000,0.970000,0.000000,0.000000
3,0.000000,0.000000,0.980000,0.000000,0.000000
4,0.000000,0.000000,0.980000,0.000000,0.000000
5,0.000000,0.000000,1.000000,0.000000,0.000000
6,0.000000,0.030000,0.960000,0.000000,0.000000
7,0.000000,0.000000,0.970000,0.000000,0.000000
8,0.000000,0.000000,0.870000,0.000000,0.000000
9,0.000000,0.000000,0.990000,0.000000,0.000000
10,0.000000,0.000000,0.960000,0.000000,0.000000
11,0.000000,0.000000,0.980000,0.000000,0.000000
0,0.000000,0.000000,0.960000,0.000000,0.000000
1,0.000000,0.000000,0.960000,0.000000,0.000000
2,0.000000,0.000000,0.990000,0.000000,0.000000
3,0.000000,0.000000,0.930000,0.000000,0.000000
4,0.000000,0.000000,0.960000,0.000000,0.000000
5,0.000000,0.000000,0.980000,0.000000,0.000000
6,0.000000,0.010000,0.910000,0.000000,0.000000
7,0.000000,0.000000,0.960000,0.000000,0.000000
8,0.000000,0.000000,1.050000,0.000000,0.000000
9,0.000000,0.000000,0.960000,0.000000,0.000000
10,0.000000,0.000000,0.960000,0.000000,0.000000
11,0.000000,0.000000,0.960000,0.000000,0.000000
0,0.000000,0.000000,0.960000,0.000000,0.000000
1,0.000000,0.000000,1.000000,0.000000,0.000000
2,0.000000,0.000000,0.970000,0.000000,0.000000
3,0.000000,0.000000,0.940000,0.000000,0.000000
4,0.000000,0.000000,0.970000,0.000000,0.000000
5,0.000000,0.000000,0.980000,0.000000,0.000000
6,0.000000,0.000000,0.850000,0.000000,0.000000
7,0.000000,0.000000,0.960000,0.000000,0.000000
8,0.000000,0.000000,0.970000,0.000000,0.000000
9,0.000000,0.000000,1.010000,0.000000,0.000000
10,0.000000,0.000000,0.970000,0.000000,0.000000
11,0.000000,0.000000,0.970000,0.000000,0.000000
0,0.000000,0.000000,0.960000,0.000000,0.000000
1,0.000000,0.000000,0.890000,0.000000,0.000000
2,0.000000,0.000000,0.970000,0.000000,0.000000
3,0.000000,0.000000,0.970000,0.000000,0.000000
4,0.000000,0.000000,0.970000,0.000000,0.000000
5,0.000000,0.000000,0.980000,0.000000,0.000000
6,0.000000,0.000000,0.990000,0.000000,0.000000
7,0.000000,0.000000,0.970000,0.000000,0.000000
8,0.000000,0.000000,0.980000,0.000000,0.000000
9,0.000000,0.000000,0.920000,0.000000,0.000000
10,0.000000,0.000000,0.970000,0.000000,0.000000
11,0.000000,0.000000,0.980000,0.000000,0.000000
0,0.000000,0.000000,0.960000,0.000000,0.000000
1,0.000000,0.000000,1.050000,0.000000,0.000000
2,0.000000,0.000000,0.980000,0.000000,0.000000
3,0.000000,0.000000,0.980000,0.000000,0.000000
4,0.000000,0.000000,0.950000,0.000000,0.000000
5,0.000000,0.000000,0.930000,0.000000,0.000000
6,0.000000,0.000000,0.990000,0.000000,0.000000
7,0.000000,0.000000,0.960000,0.000000,0.000000
8,0.000000,0.000000,0.980000,0.000000,0.000000
9,0.000000,0.000000,0.930000,0.000000,0.000000
10,0.000000,0.000000,0.970000,0.000000,0.000000
11,0.000000,0.000000,0.960000,0.000000,0.000000
0,0.000000,0.000000,0.960000,0.000000,0.000000
1,0.000000,0.000000,1.030000,0.000000,0.000000
2,0.000000,0.000000,0.990000,0.000000,0.000000
3,0.000000,0.000000,1.010000,0.000000,0.000000
4,0.000000,0.000000,0.990000,0.000000,0.000000
5,0.000000,0.000000,0.980000,0.000000,0.000000
6,0.000000,0.000000,1.060000,0.000000,0.000000
7,0.000000,0.000000,0.970000,0.000000,0.000000
8,0.000000,0.000000,1.020000,0.000000,0.000000
9,0.000000,0.000000,1.050000,0.000000,0.000000
10,0.000000,0.000000,0.990000,0.000000,0.000000
11,0.000000,0.000000,0.970000,0.000000,0.000000
0,0.000000,0.000000,0.960000,0.000000,0.000000
1,0.000000,0.000000,0.930000,0.000000,0.000000
2,0.000000,0.000000,0.980000,0.000000,0.000000
3,0.000000,0.000000,0.920000,0.000000,0.000000
4,0.000000,0.000000,0.980000,0.000000,0.000000
5,0.000000,0.000000,0.970000,0.000000,0.000000
6,0.000000,0.000000,0.990000,0.000000,0.000000
7,0.000000,0.000000,0.970000,0.000000,0.000000
8,0.000000,0.000000,1.000000,0.000000,0.000000
9,0.000000,0.000000,1.000000,0.000000,0.000000
10,0.000000,0.000000,0.970000,0.000000,0.000000
11,0.000000,0.000000,0.970000,0.000000,0.000000
0,0.000000,0.000000,0.960000,0.000000,0.000000
1,0.000000,0.000000,1.000000,0.000000,0.000000
2,0.000000,0.000000,0.960000,0.000000,0.000000
3,0.000000,0.010000,0.950000,0.000000,0.000000
4,0.000000,0.000000,0.950000,0.000000,0.000000
5,0.000000,0.000000,0.940000,0.000000,0.000000
6,0.000000,0.000000,1.010000,0.000000,0.000000
7,0.000000,0.000000,0.960000,0.000000,0.000000
8,0.000000,0.000000,0.980000,0.000000,0.000000
9,0.000000,0.000000,1.000000,0.000000,0.000000
10,0.000000,0.000000,0.920000,0.000000,0.000000
11,0.000000,0.000000,0.960000,0.000000,0.000000
0,0.000000,0.000000,0.960000,0.000000,0.000000
1,0.000000,0.000000,1.000000,0.000000,0.000000
2,0.000000,0.000000,0.960000,0.000000,0.000000
3,0.000000,0.000000,0.860000,0.000000,0.000000
4,0.000000,0.000000,0.960000,0.000000,0.000000
5,0.000000,0.000000,0.980000,0.000000,0.000000
6,0.000000,0.000000,0.970000,0.000000,0.000000
7,0.000000,0.000000,0.970000,0.000000,0.000000
8,0.000000,0.000000,0.970000,0.000000,0.000000
9,0.000000,0.000000,0.930000,0.000000,0.000000
10,0.000000,0.000000,0.960000,0.000000,0.000000
11,0.000000,0.000000,0.970000,0.000000,0.000000
0,0.000000,0.000000,0.960000,0.000000,0.000000
1,0.000000,0.000000,1.000000,0.000000,0.000000
2,0.000000,0.000000,0.960000,0.000000,0.000000
3,0.000000,0.000000,0.870000,0.000000,0.000000
4,0.000000,0.000000,0.960000,0.000000,0.000000
5,0.000000,0.000000,0.950000,0.000000,0.000000
6,0.000000,0.000000,0.930000,0.000000,0.000000
7,0.000000,0.000000,0.980000,0.000000,0.000000
8,0.000000,0.000000,0.850000,0.000000,0.000000
9,0.000000,0.000000,0.930000,0.000000,0.000000
10,0.000000,0.000000,0.940000,0.000000,0.000000
11,0.000000,0.000000,0.970000,0.000000,0.000000
0,0.000000,0.000000,0.960000,0.000000,0.000000
1,0.000000,0.000000,0.990000,0.000000,0.000000
2,0.000000,0.000000,0.960000,0.000000,0.000000
3,0.000000,0.000000,0.950000,0.000000,0.000000
4,0.000000,0.000000,0.980000,0.000000,0.000000
5,0.000000,0.000000,0.990000,0.000000,0.000000
6,0.000000,0.000000,1.000000,0.000000,0.000000
7,0.000000,0.000000,0.970000,0.000000,0.000000
8,0.000000,0.000000,0.990000,0.000000,0.000000
9,0.000000,0.000000,0.930000,0.000000,0.000000
10,0.000000,0.000000,1.000000,0.000000,0.000000
11,0.000000,0.000000,0.980000,0.000000,0.000000
0,0.000000,0.000000,0.960000,0.000000,0.000000
1,0.000000,0.000000,0.900000,0.000000,0.000000
2,0.000000,0.000000,0.960000,0.000000,0.000000
3,0.000000,0.000000,1.070000,0.000000,0.000000
4,0.000000,0.000000,0.960000,0.000000,0.000000
5,0.000000,0.000000,0.950000,0.000000,0.000000
6,0.000000,0.000000,0.980000,0.000000,0.000000
7,0.000000,0.000000,0.960000,0.000000,0.000000
8,0.000000,0.000000,1.020000,0.000000,0.000000
9,0.000000,0.000000,0.960000,0.000000,0.000000
10,0.000000,0.000000,1.020000,0.000000,0.000000
11,0.000000,0.000000,0.960000,0.000000,0.000000
0,0.000000,0.000000,0.960000,0.000000,0.000000
1,0.000000,0.000000,1.020000,0.000000,0.000000
2,0.000000,0.000000,0.960000,0.000000,0.000000
3,0.000000,0.000000,0.940000,0.000000,0.000000
4,0.000000,0.000000,0.970000,0.000000,0.000000
5,0.000000,0.000000,0.980000,0.000000,0.000000
6,0.000000,0.000000,0.960000,0.000000,0.000000
7,0.000000,0.000000,0.970000,0.000000,0.000000
8,0.000000,0.000000,1.000000,0.000000,0.000000
9,0.000000,0.000000,0.950000,0.000000,0.000000
10,0.000000,0.000000,0.990000,0.000000,0.000000
11,0.000000,0.000000,0.970000,0.000000,0.000000
0,0.000000,0.000000,0.960000,0.000000,0.000000
1,0.000000,0.000000,1.010000,0.000000,0.000000
2,0.000000,0.000000,0.970000,0.000000,0.000000
3,0.000000,0.000000,1.110000,0.000000,0.000000
4,0.000000,0.000000,0.980000,0.000000,0.000000
5,0.000000,0.000000,0.980000,0.000000,0.000000
6,0.000000,0.000000,1.000000,0.000000,0.000000
7,0.000000,0.000000,0.980000,0.000000,0.000000
8,0.000000,0.000000,1.000000,0.000000,0.000000
9,0.000000,0.000000,1.070000,0.000000,0.000000
10,0.000000,0.000000,1.000000,0.000000,0.000000
11,0.000000,0.000000,0.980000,0.000000,0.000000
0,0.000000,0.000000,0.960000,0.000000,0.000000
1,0.000000,0.000000,1.000000,0.000000,0.000000
2,0.000000,0.000000,0.970000,0.000000,0.000000
3,0.000000,0.000000,0.910000,0.000000,0.000000
4,0.000000,0.000000,0.960000,0.000000,0.000000
5,0.000000,0.000000,0.940000,0.000000,0.000000
6,0.000000,0.000000,0.960000,0.000000,0.000000
7,0.000000,0.000000,0.970000,0.000000,0.000000
8,0.000000,0.000000,1.000000,0.000000,0.000000
9,0.000000,0.000000,0.960000,0.000000,0.000000
10,0.000000,0.000000,1.000000,0.000000,0.000000
11,0.000000,0.000000,0.960000,0.000000,0.000000
0,0.000000,0.000000,0.960000,0.000000,0.000000
1,0.000000,0.000000,0.920000,0.000000,0.000000
2,0.000000,0.000000,0.970000,0.000000,0.000000
3,0.000000,0.000000,0.800000,0.000000,0.000000
4,0.000000,0.000000,0.970000,0.000000,0.000000
5,0.000000,0.000000,0.980000,0.000000,0.000000
6,0.000000,0.000000,0.930000,0.000000,0.000000
7,0.000000,0.000000,0.960000,0.000000,0.000000
8,0.000000,0.000000,0.960000,0.000000,0.000000
9,0.000000,0.000000,1.030000,0.000000,0.000000
10,0.000000,0.000000,0.980000,0.000000,0.000000
11,0.000000,0.000000,0.970000,0.000000,0.000000
0,0.000000,0.000000,0.960000,0.000000,0.000000
1,0.000000,0.000000,1.000000,0.000000,0.000000
2,0.000000,0.000000,0.970000,0.000000,0.000000
3,0.000000,0.000000,1.010000,0.000000,0.000000
4,0.000000,0.000000,0.980000,0.000000,0.000000
5,0.000000,0.000000,0.970000,0.000000,0.000000
6,0.000000,0.000000,0.960000,0.000000,0.000000
7,0.000000,0.000000,0.970000,0.000000,0.000000
8,0.000000,0.000000,0.990000,0.000000,0.000000
9,0.000000,0.000000,0.910000,0.000000,0.000000
10,0.000000,0.000000,0.970000,0.000000,0.000000
11,0.000000,0.000000,0.980000,0.000000,0.000000
0,0.000000,0.010000,0.950000,0.000000,0.000000
1,0.000000,0.000000,1.000000,0.000000,0.000000
2,0.000000,0.010000,0.950000,0.000000,0.000000
3,0.000000,0.000000,1.100000,0.000000,0.000000
4,0.000000,0.000000,0.970000,0.000000,0.000000
5,0.000000,0.000000,0.950000,0.000000,0.000000
6,0.000000,0.000000,0.940000,0.000000,0.000000
7,0.000000,0.000000,0.960000,0.000000,0.000000
8,0.000000,0.000000,0.960000,0.000000,0.000000
9,0.000000,0.000000,0.990000,0.000000,0.000000
10,0.000000,0.000000,0.970000,0.000000,0.000000
11,0.000000,0.000000,0.960000,0.000000,0.000000
0,0.000000,0.000000,0.960000,0.000000,0.000000
1,0.000000,0.000000,0.940000,0.000000,0.000000
2,0.000000,0.000000,0.980000,0.000000,0.000000
3,0.000000,0.060000,1.010000,0.000000,0.000000
4,0.000000,0.000000,0.960000,0.000000,0.000000
5,0.000000,0.000000,0.990000,0.000000,0.000000
6,0.000000,0.010000,1.000000,0.000000,0.000000
7,0.000000,0.000000,0.970000,0.000000,0.000000
8,0.000000,0.000000,0.980000,0.000000,0.000000
9,0.000000,0.000000,1.030000,0.000000,0.000000
10,0.000000,0.000000,0.970000,0.000000,0.000000
11,0.000000,0.000000,0.970000,0.000000,0.000000
0,0.020000,0.030000,0.900000,0.000000,0.000000
1,0.010000,0.050000,0.920000,0.000000,0.000000
2,0.040000,0.020000,0.880000,0.000000,0.000000
3,0.020000,0.070000,0.950000,0.000000,0.000000
4,0.010000,0.060000,0.890000,0.000000,0.000000
5,0.040000,0.020000,0.880000,0.000000,0.000000
6,0.020000,0.070000,0.880000,0.000000,0.000000
7,0.030000,0.040000,0.900000,0.000000,0.000000
8,0.010000,0.050000,0.900000,0.000000,0.000000
9,0.000000,0.070000,0.930000,0.000000,0.000000
10,0.030000,0.040000,0.880000,0.000000,0.000000
11,0.010000,0.060000,0.870000,0.000000,0.000000
0,0.010000,0.010000,0.930000,0.000000,0.000000
1,0.000000,0.030000,0.870000,0.000000,0.000000
2,0.020000,0.010000,0.910000,0.000000,0.000000
3,0.010000,0.040000,0.950000,0.000000,0.000000
4,0.000000,0.030000,0.920000,0.000000,0.000000
5,0.020000,0.010000,0.940000,0.000000,0.000000
6,0.010000,0.040000,0.890000,0.000000,0.000000
7,0.010000,0.020000,0.900000,0.000000,0.000000
8,0.000000,0.030000,0.860000,0.000000,0.000000
9,0.000000,0.040000,0.920000,0.000000,0.000000
10,0.010000,0.020000,0.920000,0.000000,0.000000
11,0.000000,0.030000,0.860000,0.000000,0.000000
0,0.000000,0.000000,0.940000,0.000000,0.000000
1,0.000000,0.010000,1.010000,0.000000,0.000000
2,0.010000,0.000000,0.960000,0.000000,0.000000
3,0.000000,0.020000,0.970000,0.000000,0.000000
4,0.000000,0.010000,0.930000,0.000000,0.000000
5,0.010000,0.000000,0.960000,0.000000,0.000000
6,0.000000,0.020000,0.950000,0.000000,0.000000
7,0.000000,0.010000,0.970000,0.000000,0.000000
8,0.000000,0.010000,0.930000,0.000000,0.000000
9,0.000000,0.020000,0.950000,0.000000,0.000000
10,0.000000,0.010000,0.950000,0.000000,0.000000
11,0.000000,0.010000,0.980000,0.000000,0.000000
0,0.000000,0.000000,0.950000,0.000000,0.000000
1,0.000000,0.000000,0.920000,0.000000,0.000000
2,0.000000,0.000000,0.920000,0.000000,0.000000
3,0.000000,0.010000,0.970000,0.000000,0.000000
4,0.000000,0.000000,0.840000,0.000000,0.000000
5,0.000000,0.000000,0.960000,0.000000,0.000000
6,0.000000,0.010000,0.940000,0.000000,0.000000
7,0.000000,0.000000,0.970000,0.000000,0.000000
8,0.000000,0.000000,0.820000,0.000000,0.000000
9,0.000000,0.010000,0.960000,0.000000,0.000000
10,0.000000,0.000000,0.960000,0.000000,0.000000
11,0.000000,0.000000,0.900000,0.000000,0.000000
0,0.000000,0.000000,0.960000,0.000000,0.000000
1,0.000000,0.000000,1.020000,0.000000,0.000000
2,0.000000,0.000000,0.930000,0.000000,0.000000
3,0.000000,0.000000,0.960000,0.000000,0.000000
4,0.000000,0.000000,0.910000,0.000000,0.000000
5,0.000000,0.000000,0.970000,0.000000,0.000000
6,0.000000,0.000000,0.950000,0.000000,0.000000
7,0.000000,0.000000,0.960000,0.000000,0.000000
8,0.000000,0.000000,0.980000,0.000000,0.000000
9,0.000000,0.000000,0.950000,0.000000,0.000000
10,0.000000,0.000000,0.950000,0.000000,0.000000
11,0.000000,0.000000,1.000000,0.000000,0.000000
0,0.000000,0.000000,0.960000,0.000000,0.000000
1,0.000000,0.000000,0.990000,0.000000,0.000000
2,0.000000,0.000000,0.950000,0.000000,0.000000
3,0.000000,0.000000,0.970000,0.000000,0.000000
4,0.000000,0.000000,1.000000,0.000000,0.000000
5,0.000000,0.000000,0.970000,0.000000,0.000000
6,0.000000,0.000000,0.990000,0.000000,0.000000
7,0.000000,0.000000,0.940000,0.000000,0.000000
8,0.000000,0.000000,0.970000,0.000000,0.000000
9,0.000000,0.000000,0.970000,0.000000,0.000000
10,0.000000,0.000000,0.930000,0.000000,0.000000
11,0.000000,0.000000,0.930000,0.000000,0.000000
0,0.000000,0.000000,0.960000,0.000000,0.000000
1,0.000000,0.000000,0.960000,0.000000,0.000000
2,0.000000,0.000000,1.000000,0.000000,0.000000
3,0.000000,0.000000,0.980000,0.000000,0.000000
4,0.000000,0.000000,0.990000,0.000000,0.000000
5,0.000000,0.000000,0.980000,0.000000,0.000000
6,0.000000,0.000000,0.990000,0.000000,0.000000
7,0.000000,0.000000,0.980000,0.000000,0.000000
8,0.000000,0.000000,1.000000,0.000000,0.000000
9,0.000000,0.000000,0.980000,0.000000,0.000000
10,0.000000,0.000000,0.980000,0.000000,0.000000
11,0.000000,0.000000,0.900000,0.000000,0.000000
0,0.000000,0.000000,0.960000,0.000000,0.000000
1,0.000000,0.000000,0.990000,0.000000,0.000000
2,0.000000,0.000000,0.990000,0.000000,0.000000
3,0.000000,0.000000,0.970000,0.000000,0.000000
4,0.000000,0.010000,0.970000,0.000000,0.000000
5,0.000000,0.000000,0.970000,0.000000,0.000000
6,0.000000,0.000000,0.980000,0.000000,0.000000
7,0.000000,0.010000,0.960000,0.000000,0.000000
8,0.000000,0.000000,0.990000,0.000000,0.000000
9,0.000000,0.000000,0.970000,0.000000,0.000000
10,0.000000,0.000000,0.970000,0.000000,0.000000
11,0.000000,0.000000,1.050000,0.000000,0.000000
0,0.000000,0.030000,0.920000,0.000000,0.000000
1,0.000000,0.000000,0.990000,0.000000,0.000000
2,0.000000,0.000000,0.980000,0.000000,0.000000
3,0.000000,0.000000,0.970000,0.000000,0.000000
4,0.000000,0.010000,0.960000,0.000000,0.000000
5,0.000000,0.000000,0.970000,0.000000,0.000000
6,0.000000,0.010000,0.970000,0.000000,0.000000
7,0.000000,0.000000,0.960000,0.000000,0.000000
8,0.000000,0.040000,0.940000,0.000000,0.000000
9,0.000000,0.000000,0.970000,0.000000,0.000000
10,0.000000,0.000000,0.970000,0.000000,0.000000
11,0.000000,0.050000,0.950000,0.000000,0.000000
0,0.000000,0.050000,0.890000,0.000000,0.000000
1,0.000000,0.000000,0.980000,0.000000,0.000000
2,0.000000,0.000000,0.950000,0.000000,0.000000
3,0.000000,0.000000,0.960000,0.000000,0.000000
4,0.000000,0.030000,0.920000,0.000000,0.000000
5,0.000000,0.000000,0.960000,0.000000,0.000000
6,0.000000,0.000000,0.960000,0.000000,0.000000
7,0.000000,0.000000,0.950000,0.000000,0.000000
